2025-07-22 13:28:08 INFO  c.r.r.s.study.StudyMainController - Console is ON
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: accession number
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: age
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: height
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: institution
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: patient id
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: patient name
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: performing physician
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: procedure
2025-07-22 13:28:09 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: study description
2025-07-22 13:28:12 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-07-22 13:28:13 INFO  c.r.r.service.login.LoginController - 192.168.12.10
2025-07-22 13:28:13 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.28.232 and 192.168.12.10
2025-07-22 13:28:13 INFO  c.r.r.service.login.LoginController - IP not found
2025-07-22 13:28:13 INFO  c.r.r.service.json.WifiSettings - 192.168.12.10
2025-07-22 13:28:13 INFO  c.r.r.service.json.WifiSettings - Batch file created: set_static_ip.bat 
2025-07-22 13:28:13 INFO  c.r.r.service.json.WifiSettings - Running batch file as admin...
2025-07-22 13:28:13 INFO  c.r.r.s.f.controller.FpdController - Loading detector: X221AW2-B1C, SDK type: RAD_INNOCARE
2025-07-22 13:28:13 INFO  c.r.r.service.login.LoginController - initialized
2025-07-22 13:28:16 ERROR c.r.r.s.f.controller.FpdController - No devices found
2025-07-22 13:28:16 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: accession number
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: age
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: height
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: institution
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: patient id
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: patient name
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: performing physician
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: procedure
2025-07-22 13:28:16 INFO  c.r.r.s.database.DatabaseController - Setting visibility for field: study description
2025-07-22 13:28:22 INFO  c.r.r.m.print.Layout.LayoutCreator - Creating layout with code: STANDARD\1,1 2048.0 2560.0
2025-07-22 13:28:24 INFO  c.r.r.modules.print.Layout.LayoutTab - org width 2500 height 3052
2025-07-22 13:28:24 INFO  c.r.r.modules.print.Layout.LayoutTab - rect x 0 y 0 width 2500 height 3052
2025-07-22 13:28:24 INFO  c.r.r.modules.print.Layout.LayoutTab - org width 2500 height 3052
2025-07-22 13:28:32 INFO  c.r.r.m.print.Layout.LayoutCreator - Creating layout with code: STANDARD\1,1 2048.0 2560.0
2025-07-22 13:28:32 INFO  c.r.r.modules.print.Layout.LayoutTab - org width 2500 height 3052
2025-07-22 13:28:32 INFO  c.r.r.modules.print.Layout.LayoutTab - rect x 0 y 0 width 2500 height 3052
2025-07-22 13:28:32 INFO  c.r.r.modules.print.Layout.LayoutTab - org width 2500 height 3052
2025-07-22 13:28:34 INFO  c.r.r.service.print.PrintService - Type or Depth Issue in informationMat : CV_16UC4 : CV_8UC4
2025-07-22 13:28:34 INFO  c.r.r.m.print.Layout.LayoutCreator - Creating layout with code: STANDARD\1,1 2048.0 2560.0
2025-07-22 13:28:34 INFO  c.r.r.modules.print.Layout.LayoutTab - org width 2500 height 3052
2025-07-22 13:28:34 INFO  c.r.r.modules.print.Layout.LayoutTab - rect x 0 y 0 width 2500 height 3052
2025-07-22 13:28:34 INFO  c.r.r.modules.print.Layout.LayoutTab - org width 2500 height 3052
2025-07-22 13:28:36 INFO  c.r.r.service.print.PrintService - Type or Depth Issue in annotationsMat : CV_16UC4 : CV_8UC4
2025-07-22 13:28:36 INFO  c.r.r.service.print.PrintService - outputMat type : CV_16UC4
2025-07-22 13:28:36 INFO  c.r.r.service.print.PrintService - changed outputMat type: CV_16UC1
2025-07-22 13:28:36 INFO  c.r.r.service.print.PrintService - path exits
2025-07-22 13:28:36 INFO  c.r.r.service.print.PrintService - D:\Work\RxView\RxView_Nellore_V3/dcmOutput/fa5edb94-b468-4ce4-bd81-86820cbd6abc.dcm
2025-07-22 13:28:36 INFO  c.r.r.modules.dicom.DicomCreator - mat type: CV_16UC1, width: 2048, height: 2560, channels: 1
2025-07-22 13:28:36 INFO  c.r.r.modules.dicom.DicomCreator - Processing 16-bit unsigned single-channel Mat with size: 2048x2560
2025-07-22 13:28:59 INFO  c.r.r.service.print.PrintService - Java return : false
